amfi_code,Alpha,Beta
100016,0.03747580763443281,-0.058268431438808936
100025,0.042817920315060876,0.0011582183155281445
100033,0.2719535450128533,0.005103525830528313
101206,0.21399784776051212,0.021086316250128048
101207,0.10897091901704538,-0.06528924788351524
101208,0.060861457957871144,0.00026670968338238314
102885,0.17048756803412696,-0.01948678568947453
102886,0.028969397866379445,-0.042125029021894314
102887,0.16211256794033255,0.016682689437770834
118632,0.21829397904608644,-0.008353832126962012
118633,0.15643835948169668,-0.03663900671860933
118634,0.1750072167561127,0.10349663691337589
118635,0.1513635464823924,-0.0014335213897801293
118636,0.05074772999976104,0.0012566742731558497
119092,0.0689952982167755,0.009730745001153658
119093,0.08232801295222093,0.025883212440093135
119094,0.2607666908004223,-0.06626542862803758
119095,0.048015953637759554,-0.06695117463929204
119120,0.05620895216638369,-0.006413850728276477
119551,0.23201007160635082,-0.03175144113890974
119552,0.1986859936686296,-0.026159307513513398
119598,0.3033696538698332,-0.023196062044059714
119599,0.048824215945539845,0.06200180438267168
120503,0.17703302365844073,-0.04026895236982059
120504,0.2119482701352573,0.016232169761417017
120505,0.2926358334175106,0.000549004250631669
120506,0.1625385327998104,0.04189646272811977
120507,0.06746210411099539,-0.0004440926329707226
120841,0.13042924450705445,0.03635639902219979
120842,0.0780443887615508,0.01805687420811818
120843,0.27330465038306057,-0.022829569792426566
120844,0.06455677495375998,-0.0004007442394783997
125497,0.17729754927531766,0.0488204042595774
125498,0.11989100971217971,0.009054412621739128
148567,0.2698375144191807,0.02368355807584863
148568,0.20873010086942337,-0.02638771994384302
148569,0.2827036785246582,0.018133884083859228
149322,0.13173190226099432,-0.00405027113000652
149323,0.26598577542043045,-0.0025230046646992584
149324,0.3005787817097677,0.011455159960520706
